claim_id,status,scope,statement_source
E993-MA-T16,REFUTED,"(1,1,2)*(1,1,3)=(1,2,6,5,6); factors are not graph vectors. Nested interval-layer closure is the same WU class according to the same source row 18.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-MA-T16
E993-MA-T18,REFUTED,"Center-rooted K1,4 refutes universal composition and membership; the tree remains unimodal.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-MA-T18
E993-MA-T19,REFUTED,"K1,3 and K1,4 show the retained data are insufficient; no target counterexample follows.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-MA-T19
E993-T15,REFUTED,Refutes the proposed invariant only; witness tree remains unimodal.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-T15
E993-T16,REFUTED,Refutes the proposed transport rule only.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-T16
E993-T17,REFUTED,Refutes the proposed endpoint premise only.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-T17
E993-T18,REFUTED,"Fails on rooted K_(1,6) at lambda=10; TREE unaffected.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-T18
E993-T20,REFUTED,W_51 violates TDLC1 and remains weakly unimodal.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-T20
OB-C9-F1-PROJECTION-FACTOR-DECODER,REFUTED,The Cycle 10 exact projection collision is not reversed.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#OB-C9-F1-PROJECTION-FACTOR-DECODER
OB-C9-U1-LINKED-CROSS-MINOR,REFUTED,The center-rooted four-vertex star has chi_2=-1.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#OB-C9-U1-LINKED-CROSS-MINOR
OB-C10-U3-AMBIENT-CLOSURE,REFUTED,The predecessor ambient-array refutation is not reversed.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#OB-C10-U3-AMBIENT-CLOSURE
R17-BETA-D2-PGE7,REFUTED,"Exact BetaTarget guards, support degree two and p>=7. Same actual order-91 marked witness in frozen audit; not equated to unrestricted beta scope.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#R17-BETA-D2-PGE7
R18-REFT5,REFUTED,fires 44/49 rows = 28/33 instances; exact firing criterion 2H >= (p+2)D+2 at edgeless-U star-hub scope; C5-GATE-RECORD §2,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#R18-REFT5
E993-G1-GATEWAY-NORMAL-FORM,VERIFIED,"Ordinary finite trees with handle v-s-g and deg(s)=2; structural theorem without numerical G1 eligibility; empty residuals/blocks, grouped components, repeated isomorphism types included.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GATEWAY-NORMAL-FORM
E993-G1-ORDINARY-PLE5-CLASSIFICATION-AND-SIGN,VERIFIED,Exact compound ordinary-graph low-rank theorem: full forest classification/count interface and exact ordinary G1 corollary; natural truncated guards reconciled to integer target rank. No RTree or p>=6 claim.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ORDINARY-PLE5-CLASSIFICATION-AND-SIGN
E993-G1-MIXED-RESIDUAL-STRATUM,VERIFIED,Ordinary graph/count theorem. D_m has two adjacent centers with m leaves on each; K has one center joined to hubs carrying c_j pendant length-two arms. Empty lists and repeated factors allowed; fixed finite B list only.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MIXED-RESIDUAL-STRATUM
E993-G1-PATH-FOREST-NORECOVERY,VERIFIED,"All ordinary path forests, including empty forest, isolated vertices and repeated path components.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-PATH-FOREST-NORECOVERY
E993-G1-UNBOUNDED-GUARDED-ENDPOINT-PATHS,VERIFIED,"Unbounded positive actual-graph witness family; existential n for each M, not every sufficiently large n.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-UNBOUNDED-GUARDED-ENDPOINT-PATHS
E993-TAIL-ONSET-DELETION,VERIFIED,"Full nonpositive tails, original graph neighborhood, not one-rank signs.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TAIL-ONSET-DELETION
E993-TAIL-ONSET-CONVOLUTION,VERIFIED,Finite nonzero nonnegative polynomial sequences; tau as globally defined.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TAIL-ONSET-CONVOLUTION
E993-G1-ALIGN-SUFFICIENT,CONDITIONAL,Full original guards plus existential ALIGN; surviving ALIGN premise explicitly required.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ALIGN-SUFFICIENT
E993-G1-EXISTENTIAL-ALIGN,OPEN,Universal over exact ordinary G1 tuples; existential vertex selection and full deletion tails.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-EXISTENTIAL-ALIGN
E993-G1-ATTACHMENT-ROOT-ALIGN,REFUTED,Specified attachment roots in the original gateway decomposition; full tails.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ATTACHMENT-ROOT-ALIGN
E993-G1-ALL-VERTEX-ALIGN,REFUTED,"All residual vertices, a stronger universal assertion than prescribed-root ALIGN.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ALL-VERTEX-ALIGN
E993-G1-RESIDUAL-ADMISSION-BOUND,VERIFIED,Only the two residual guards; no ambient or sign sufficiency claimed.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-RESIDUAL-ADMISSION-BOUND
E993-G1-EDGELESS-INELIGIBILITY,VERIFIED,"All n including zero; numerical admission impossibility, compatible with structural gateway realizability.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-EDGELESS-INELIGIBILITY
E993-INDEPENDENCE-POSITIVE-DELTA-SIZE,VERIFIED,All finite ordinary simple graphs; negative ranks included by coefficient zero extension.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-INDEPENDENCE-POSITIVE-DELTA-SIZE
E993-G1-PRESCRIBED-RECOVERY-LIFT,OPEN,Universal prescribed forest/rank pair lifting; original neighborhoods and full graph/count transport.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-PRESCRIBED-RECOVERY-LIFT
E993-G1-PRESCRIBED-LIFT-IMPLIES-FOREST,CONDITIONAL,Logical implication retaining both antecedents; uses the positive-difference size theorem.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-PRESCRIBED-LIFT-IMPLIES-FOREST
E993-INDEPENDENCE-UNIMODAL-IFF-NORECOVERY,VERIFIED,"Finite ordinary graph independence sequences, including the empty graph; first strict descent and zero tail conventions.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-INDEPENDENCE-UNIMODAL-IFF-NORECOVERY
E993-FOREST-IMPLIES-ORDINARY-G1,CONDITIONAL,One-way conjecture implication; retains FOREST antecedent; no RTree representation conclusion.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-FOREST-IMPLIES-ORDINARY-G1
E993-G1-NONTRS2-CORE-REDUCTION,CONDITIONAL,Pointwise conditional core theorem; empty core product is [1]; all LC factors have positive interval support; exact ordinary component counts required.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-NONTRS2-CORE-REDUCTION
E993-FOREST-IFF-UNIVERSAL-NONTRS2-CORE,VERIFIED,Universal premise-strength equivalence over all ordinary finite forests; neither side is asserted true.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-FOREST-IFF-UNIVERSAL-NONTRS2-CORE
E993-G1-ORDINARY-RTREE-TRANSPORT,OPEN,Only the representation direction actually needed by a frozen target; no gratuitous universal two-way encoding requirement.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ORDINARY-RTREE-TRANSPORT
E993-G1-GUARDS-IMPLY-RESIDUAL-LC,REFUTED,"Only the full-guard ordinary G1 population; adjacent LC at every rank, not local inequalities at one target rank.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GUARDS-IMPLY-RESIDUAL-LC
E993-G1-GUARDS-IMPLY-COMPONENT-LC,REFUTED,Full-guard ordinary population; componentwise LC is stronger than residual-product LC.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GUARDS-IMPLY-COMPONENT-LC
E993-G1-AT-MOST-ONE-NONTRS2-COMPONENT,REFUTED,"Component occurrences counted with multiplicity, not distinct isomorphism types.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-AT-MOST-ONE-NONTRS2-COMPONENT
E993-G1-RESIDUAL-MAXDEG-LE200,REFUTED,Ordinary G1 population; finite threshold 200 only. Consequence: all weaker upper caps d<=200 also fail.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-RESIDUAL-MAXDEG-LE200
E993-G1-RESIDUAL-BRANCHCOUNT-LE197,REFUTED,Ordinary G1 population; finite threshold 197 only; cited residual is subcubic.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-RESIDUAL-BRANCHCOUNT-LE197
E993-G1-CROSSING-GAP-LE39,REFUTED,"Every exact ordinary G1 tuple; gap=(p-2)-x(U), finite threshold 39 only. Root supplied the originating definition and the 160P3 full-guard example.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-CROSSING-GAP-LE39
E993-G1-TAIL-DIFFERENCES-NUMERICALLY-NONINCREASING,REFUTED,"Numerical monotonicity only between first descent and the target rank, inclusive; refuted inside that interval by 80P3 at j=99,k=100,p=102,x(U)=80. Both differences are negative. No sign-no-recovery refutation.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-TAIL-DIFFERENCES-NUMERICALLY-NONINCREASING
E993-RECOVERING-FOREST-MINIMALITY-DELETION,CONDITIONAL,"Minimal among all recovering forests, not only connected trees or ambient G1 examples.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-RECOVERING-FOREST-MINIMALITY-DELETION
E993-G1-MINIMUM-TREE-COUNTEREXAMPLE-MULTICORE,CONDITIONAL,"Minimum among TREE counterexamples, plus a failing G1 tuple on that same tree.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MINIMUM-TREE-COUNTEREXAMPLE-MULTICORE
E993-G1-MINIMUM-TREE-K25-SIZE,CONDITIONAL,Exact ordinary K25 conditional size bound; two components may share one gateway.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MINIMUM-TREE-K25-SIZE
E993-GAPPED-ADJACENT-LC-TIMES-UNIMODAL,REFUTED,"Abstract sequence scope. Witness a=[1,0,0,1], b=[1,1], product=[1,1,0,1,1].",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GAPPED-ADJACENT-LC-TIMES-UNIMODAL
E993-SINGLE-TAIL-SIGN-IMPLIES-NORECOVERY,REFUTED,"Abstract sequence mechanism; [1,4,3,5,1] has x=1, a nonpositive tail rank and later positive recovery relative to x. No forest realization.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-SINGLE-TAIL-SIGN-IMPLIES-NORECOVERY
E993-PATH-STRICT-DESCENT-WITHOUT-SUPPORT,REFUTED,"Unrestricted integer tail without upper support bound; refuted by zero extension, explicitly P30 at k=16.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-PATH-STRICT-DESCENT-WITHOUT-SUPPORT
E993-FIRST-STRICT-DESCENT-IS-FIRST-MAXIMIZER,REFUTED,"Path family, with plateaus allowed. P1 already has [1,1], first maximizer 0 and first strict descent 1; larger integral-root plateaus are also reported.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-FIRST-STRICT-DESCENT-IS-FIRST-MAXIMIZER
E993-G1-UNBOUNDED-ENDPOINT-PATH-CROSSING-FAILURES,VERIFIED,Positive infinitude/unboundedness theorem for the complement of the eligible path set; floor/plateau conventions retained.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-UNBOUNDED-ENDPOINT-PATH-CROSSING-FAILURES
E993-G1-RESIDUAL-AMBIENT-DEPENDENCE-WITNESSES,VERIFIED,Only the admitted finite comparisons. The six-leaf example establishes changes of ambient/rank data; separate equality-boundary examples establish eligibility dependence.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-RESIDUAL-AMBIENT-DEPENDENCE-WITNESSES
E993-GRAPH-FIRST-WIDE-SHARP-CLASSIFICATION,VERIFIED,"All finite simple graphs; exact first-wide cardinality, not all larger cardinalities.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-FIRST-WIDE-SHARP-CLASSIFICATION
E993-GRAPH-FIRST-WIDE-CROSSING-SIGN,VERIFIED,All finite simple graphs with exact first strict-descent guard; no ambient tuple needed.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-FIRST-WIDE-CROSSING-SIGN
E993-GRAPH-COVER-TAIL-CERTIFICATE,VERIFIED,"Conditional structural tail bound; vc is vertex-cover number, not the deletion-tail onset tau.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-COVER-TAIL-CERTIFICATE
E993-G1-ODD-BROOM-EXACT-FAMILY,VERIFIED,"Exact actual odd-broom family at every t>=0, with original neighborhoods and marked leaf v; ordinary graph scope only.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ODD-BROOM-EXACT-FAMILY
E993-G1-UNBOUNDED-DEGREE-ODD-BROOMS,VERIFIED,"Positive unbounded witness theorem, proposed consequence of C2-P04 since maxdeg(U_m)=m+1.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-UNBOUNDED-DEGREE-ODD-BROOMS
E993-G1-ODD-BROOM-VANISHING-RELATIVE-GAP,VERIFIED,"Actual family C2-P04, r=t+3; i_r(U)>0 is explicit. On its negative target max(i_r,i_(r+1))=i_r.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ODD-BROOM-VANISHING-RELATIVE-GAP
E993-K26-POWERS-LOGCONCAVE,VERIFIED,Fixed order-26 tree only; graph meaning is k disjoint copies; no varying-core or all-tree claim.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-K26-POWERS-LOGCONCAVE
E993-G1-K26-REPETITION-LC-BACKGROUND,VERIFIED,"Fixed K26 component repetitions, arbitrary LC forest background, empty/repeated factors allowed; LC background remains an explicit structural hypothesis.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-K26-REPETITION-LC-BACKGROUND
E993-TREE-VARYING-BASE-FIXED-POWER-OBSTRUCTION,VERIFIED,Positive quantified varying-base witness theorem; base depends on k. The power counts a forest of k disjoint copies; all-k G1 eligibility is not asserted.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-VARYING-BASE-FIXED-POWER-OBSTRUCTION
E993-GRAPH-CLIQUE-PARTITION-NORMALIZED-COMPARISON,VERIFIED,"Actual ordinary finite graphs on the same vertex set; clique partition and edge containment explicit; P_k>0 on0..d, both graph counts vanish past d.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-CLIQUE-PARTITION-NORMALIZED-COMPARISON
E993-G1-MATCHING-COMPARATOR-SUFFICIENT,CONDITIONAL,Conditional application of C2-P10; actual matching and nonpositive comparator step are both explicit. Past comparator degree counts vanish.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MATCHING-COMPARATOR-SUFFICIENT
E993-ORDINARY-G1-IMPLIES-FOREST,OPEN,Open converse direction to the registered FOREST=>G1 implication; does not assert either conjecture.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-ORDINARY-G1-IMPLIES-FOREST
E993-TREE-SQUARE-LOGCONCAVE,REFUTED,"Fixed exponent2, arbitrary tree base; distinct from fixed K26 powers.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-SQUARE-LOGCONCAVE
E993-G1-IDENTICAL-TWO-CORE-IMPLIES-LC,REFUTED,"Restricted actual full-guard population, two identical occurrences; separate from generic all-tree square property.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-IDENTICAL-TWO-CORE-IMPLIES-LC
E993-TREE-POWER3-LOGCONCAVE,REFUTED,"Exactly exponent 3; base tree order is the witness parameter, not the order of its disjoint-union power.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-POWER3-LOGCONCAVE
E993-TREE-POWER5-LOGCONCAVE,REFUTED,"Exactly exponent 5; base tree order is the witness parameter, not the order of its disjoint-union power.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-POWER5-LOGCONCAVE
E993-TREE-POWER8-LOGCONCAVE,REFUTED,"Exactly exponent 8; base tree order is the witness parameter, not the order of its disjoint-union power.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-POWER8-LOGCONCAVE
E993-LC-SPANNING-FOREST-NORMALIZED-COMPARISON,REFUTED,Relaxation from a clique union/normal independent-set poset to merely LC spanning forest.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-LC-SPANNING-FOREST-NORMALIZED-COMPARISON
E993-G1-MAXMATCHING-COMPARATOR-NONPOSITIVE,REFUTED,"Applicability of the specific sufficient comparator step, not validity of normalized comparison.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MAXMATCHING-COMPARATOR-NONPOSITIVE
E993-G1-UNRESTRICTED-CONNECTED-GRAPH-EXTENSION,REFUTED,Exact extension of G1 to connected cyclic ambient graphs at arbitrary wide residual size; not the n=2r+2 theorem.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-UNRESTRICTED-CONNECTED-GRAPH-EXTENSION
E993-G1-VARYING-POWER-FAMILY-EMBEDDING,OPEN,"Existence of all original handle and numerical guards with p=x(T)+1; no target-sign conclusion asserted and no prescribed ambient order or fixed wrapper assumed. Finite k1,2,3,5,8 examples alone do not prove this quantifier.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-VARYING-POWER-FAMILY-EMBEDDING
E993-G1-UNIFORM-POSITIVE-RELATIVE-GAP,REFUTED,"A single epsilon for the entire original ordinary G1 domain. The proposed all-odd broom arbitrarily-small negative gap would refute it, but that universal family proof has not been independently admitted.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-UNIFORM-POSITIVE-RELATIVE-GAP
E993-TREE-UNIFORM-LC-POWER,REFUTED,A graph-independent exponent. This is distinct from fixed-base eventual smoothing and from the finite already-refuted individual exponent claims. The all-k varying-base obstruction remains a proposal.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-TREE-UNIFORM-LC-POWER
E993-GRAPH-SECOND-WIDE-CROSSING-SIGN,VERIFIED,All finite ordinary simple graphs in exactly the second wide cardinality band; x is first strict descent. Its ordinary G1 specialization is an application. No RTree transport.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-SECOND-WIDE-CROSSING-SIGN
E993-GRAPH-D3-COVER-THRESHOLD-SHARPNESS,VERIFIED,An explicit all-rank witness family showing the cover-only threshold cannot be lowered to 3. Forest witnesses when r>=2. Not a crossing-guard or G1 counterexample.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-D3-COVER-THRESHOLD-SHARPNESS
E993-GRAPH-D3-BARE-COVER3-SIGN,REFUTED,Bare cover-number-only sign guarantee; no first-descent premise.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-D3-BARE-COVER3-SIGN
E993-FOREST-D3-BARE-MATCHING3-SIGN,REFUTED,Bare matching-number-only sign guarantee on forests; no first-descent premise.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-FOREST-D3-BARE-MATCHING3-SIGN
E993-C2-F1-TARGET-RANK-LC-WITNESS,VERIFIED,"One explicit connected B508 residual, left-center root, 168 bare g-leaves, p=250, r=248.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-F1-TARGET-RANK-LC-WITNESS
E993-C2-F1-STRUCTURED-FINITE-SEARCH,VERIFIED,"Fourteen component types, ten templates, 54 root patterns, h=0 through 320.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-F1-STRUCTURED-FINITE-SEARCH
E993-C2-F1-488-VERTEX-ALIGN-CHECK,VERIFIED,"Four disjoint K(17,19,23) copies; all 488 vertices through ten exact orbit types.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-F1-488-VERTEX-ALIGN-CHECK
E993-G1-GUARDS-IMPLY-TARGET-RANK-LC,REFUTED,"Only the target LC coordinate, weaker than global residual LC. Negative target is compatible with failure of this premise.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GUARDS-IMPLY-TARGET-RANK-LC
E993-ORDINARY-G1-FIRST-WIDE-SLICE,VERIFIED,"Ordinary finite-tree G1 with every original guard retained, original neighborhoods, p=x(T)+1, and equality |U|=2p-2. The proof gives p>=3 and reconciles natural p-2 with integer target rank. No claim for larger residuals or governed RTree.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-ORDINARY-G1-FIRST-WIDE-SLICE
E993-FOREST-D3-BARE-MATCHING2-SIGN,REFUTED,"Bare matching-only condition, no early first-descent guard. Separate from the already refuted matching-at-least-3 condition.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-FOREST-D3-BARE-MATCHING2-SIGN
E993-G1-GUARDS-IMPLY-BG-COVER,REFUTED,Necessity of the sufficient Basit-Galvin cover certificate on actual fully guarded ordinary trees. This is distinct from a clique comparator sign claim.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GUARDS-IMPLY-BG-COVER
E993-GRAPH-ROOTED-GATEWAY-MOMENT-INCIDENCE,VERIFIED,Every finite ordinary residual graph with finite exact gateway root blocks; H reconstruction only for the registered ordinary gateway construction. No RTree transport.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-ROOTED-GATEWAY-MOMENT-INCIDENCE
E993-GRAPH-SINGLE-RANK-DELETION-SUFFICIENT,CONDITIONAL,"Every finite ordinary graph with integer zero extension; conditional application to exact ordinary G1 tuples. Only the displayed ranks, not full tails.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-SINGLE-RANK-DELETION-SUFFICIENT
E993-SEQUENCE-LOCAL-LC-CORRIDOR-SUFFICIENT,VERIFIED,Finite coefficient sequences with positive interval support and zero extension; applied only as a sufficient ordinary residual certificate.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-SEQUENCE-LOCAL-LC-CORRIDOR-SUFFICIENT
E993-G1-GUARDS-IMPLY-LOCAL-LC-CORRIDOR,REFUTED,"Universal exact ordinary G1 population; local interval only, not global residual LC.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-GUARDS-IMPLY-LOCAL-LC-CORRIDOR
E993-C2-T2-FIVE-K96-FINITE-CONTROLS,VERIFIED,"Two explicit ordinary trees only, with complete edge lists and exact U,H,A,T polynomials in RESULTS.json.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-T2-FIVE-K96-FINITE-CONTROLS
E993-G1-ODD-BROOM-FIXED-DIAMETER-BRANCHCOUNT,VERIFIED,The exact ordinary six-edge-tail odd-broom family with odd m=2t+1 and t>=1; geometry of U only.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-ODD-BROOM-FIXED-DIAMETER-BRANCHCOUNT
E993-C2-F2-EVEN-BROOM-FINITE-CROSSING,VERIFIED,"Finite exact ordinary edge-list computation for t=1,...,40 and t=257 only.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-F2-EVEN-BROOM-FINITE-CROSSING
E993-C2-F2-TAIL10-FINITE-CONTROLS,VERIFIED,"Finite exact ordinary edge-list computation for tail length 10, t=0,...,30 and t=257 only.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-F2-TAIL10-FINITE-CONTROLS
E993-GRAPH-COVER3-STRICT-PRE-R-INCREASE,REFUTED,"Strict strengthening of the low-cover auxiliary pre-r bound only. The origin asserts weak nondecrease, so its theorem is not refuted.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-GRAPH-COVER3-STRICT-PRE-R-INCREASE
E993-G1-COMMON-CONNECTOR-LIFT-SUFFICIENT,CONDITIONAL,Ordinary finite nonempty forests and the specified common-connector construction; sufficient root-profile inequalities retained verbatim; no assertion that a successful root set exists.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-COMMON-CONNECTOR-LIFT-SUFFICIENT
E993-G1-MINIMAL-CANONICAL-LIFT-IMPLIES-FOREST,CONDITIONAL,Conditional logical implication over minimum-order recovering forests only; the minimal canonical-lift premise remains unproved; no RTree scope.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MINIMAL-CANONICAL-LIFT-IMPLIES-FOREST
E993-RECOVERING-FOREST-MINIMUM-COMPONENT-DICHOTOMY,CONDITIONAL,Hypothetical minimum by vertex count among all recovering finite ordinary forests; conditional on existence; component TRS2 has its admitted positive-interval meaning.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-RECOVERING-FOREST-MINIMUM-COMPONENT-DICHOTOMY
E993-C2-U2-T649-ROOT-CONTROL,VERIFIED,One exact ordinary tree and marked tuple; fresh larger corroboration of E993-G1-ATTACHMENT-ROOT-ALIGN only; no existential-ALIGN or G1 refutation.,proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-U2-T649-ROOT-CONTROL
E993-G1-MINIMAL-CANONICAL-RECOVERY-LIFT,OPEN,"Unproved root-profile premise used by C2-U2. The wrapper is restricted to a single common connector and a three-edge handle, with no added bare leaves. Smaller domain and restricted codomain do not establish logical weakness relative to arbitrary prescribed-pair lifting.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-MINIMAL-CANONICAL-RECOVERY-LIFT
E993-G1-K26-B8-MIXED-GE99-LC-BACKGROUND,VERIFIED,"Exactly one fixed order-52 Q=B_8 core, at least 99 fixed K26 cores, and an explicitly LC finite-forest background; ordinary graphs only. The k=98 product is nonLC. Pending root intake; no arbitrary-core or uniform threshold claim.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-G1-K26-B8-MIXED-GE99-LC-BACKGROUND
E993-C2-T3-THREE-FRESH-G1-CONTROLS,VERIFIED,"Exactly the three deterministic edge constructions and marked leaves generated by replay.py; finite computation only, pending root intake. The B_19 residual is nonLC; none is a target counterexample or an all-parameter embedding theorem.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-C2-T3-THREE-FRESH-G1-CONTROLS
E993-K26-B8-MIXED-GE98-LOGCONCAVE,REFUTED,"Specified two-core family, no background. Fails at k=98, with negative margin -78271 at rank1398. This is not the proposed k>=99 statement.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-K26-B8-MIXED-GE98-LOGCONCAVE
E993-LC-CONVOLUTION-WEAK-NONPOSITIVE-DIFFERENCE-PERSISTENCE,REFUTED,"Overstrong auxiliary step in the source report, not the valid LC-times-unimodal theorem. Counterexample a=[1,1,2,1], b=[1], r=1,s=2 has values0 and1. Sequence a is not asserted to be a graph independence sequence.",proposals/cycle2/latest-code/master/CLAIM-IDENTITY.json#E993-LC-CONVOLUTION-WEAK-NONPOSITIVE-DIFFERENCE-PERSISTENCE
