claim_id,status,registered_statement,registered_scope,evidence_grade
E993-G1-ODD-BROOM-VANISHING-RELATIVE-GAP,VERIFIED,"For every real epsilon>0 there exists a fully guarded ordinary odd-broom tuple with Delta_r(U)<0 and 0<-Delta_r(U)/i_r(U)<epsilon. For t>=8, u=t-7>=1, the proposed explicit bound is 0<-Delta_r(U)/i_r(U)<=8648640/(21*u).","Actual family C2-P04, r=t+3; i_r(U)>0 is explicit. On its negative target max(i_r,i_(r+1))=i_r.",proved_informal_adjudicated_no_formal_award
E993-K26-POWERS-LOGCONCAVE,VERIFIED,"For the fixed B=I(K(3,4,4)), B^k is adjacent log-concave with positive interval support for every integer k>=2.",Fixed order-26 tree only; graph meaning is k disjoint copies; no varying-core or all-tree claim.,proved_informal_adjudicated_no_formal_award
E993-G1-K26-REPETITION-LC-BACKGROUND,VERIFIED,"For every integer k>=0 and ordinary finite forest L whose independence sequence is LC, F=k copies of K(3,4,4) disjoint L is weakly unimodal and has Delta_j(F)<=0 for all j>=x(F); hence exact ordinary G1 holds when U is isomorphic to F.","Fixed K26 component repetitions, arbitrary LC forest background, empty/repeated factors allowed; LC background remains an explicit structural hypothesis.",proved_informal_adjudicated_no_formal_award
E993-TREE-VARYING-BASE-FIXED-POWER-OBSTRUCTION,VERIFIED,"For every positive integer k there exists an ordinary finite tree B_a, specifically a=k+6, such that I(B_a)^k is not LC. B_a has one center, three adjacent hubs and a length-two arms at each hub, order6a+4; the proposed penultimate margin is k*((k+1)*s^2/2-b)<0 with s=3*(2^a+a), b=3*(a*2^(a-1)+choose(a,2))+3*(2^a+a)^2+2^(3a).",Positive quantified varying-base witness theorem; base depends on k. The power counts a forest of k disjoint copies; all-k G1 eligibility is not asserted.,proved_informal_adjudicated_no_formal_award
E993-GRAPH-CLIQUE-PARTITION-NORMALIZED-COMPARISON,VERIFIED,"Let H be a spanning disjoint union of nonempty cliques of sizes w_1,...,w_d in a finite simple graph G, with E(H) subset E(G), and P=prod_i(1+w_i*z). Then for every natural 0<=k<d, P_k*i_(k+1)(G)<=P_(k+1)*i_k(G).","Actual ordinary finite graphs on the same vertex set; clique partition and edge containment explicit; P_k>0 on0..d, both graph counts vanish past d.",proved_informal_adjudicated_no_formal_award
E993-G1-MATCHING-COMPARATOR-SUFFICIENT,CONDITIONAL,"For every finite ordinary graph U, every natural r>=0 and every actual matching of size m in U, writing n=|U| and P=(1+2z)^m*(1+z)^(n-2m), P_(r+1)<=P_r implies Delta_r(U)<=0. Apply r=p-2 to the exact ordinary G1 guards.",Conditional application of C2-P10; actual matching and nonpositive comparator step are both explicit. Past comparator degree counts vanish.,proved_informal_implication_with_surviving_premises_no_formal_award
E993-ORDINARY-G1-IMPLIES-FOREST,OPEN,"If unrestricted ordinary G1 holds, then every ordinary finite forest is weakly unimodal.",Open converse direction to the registered FOREST=>G1 implication; does not assert either conjecture.,open_unresolved_no_formal_award
E993-TREE-SQUARE-LOGCONCAVE,REFUTED,Every ordinary finite tree T has a log-concave square I(T)^2.,"Fixed exponent2, arbitrary tree base; distinct from fixed K26 powers.",exact_counterevidence_adjudicated_no_formal_award
E993-G1-IDENTICAL-TWO-CORE-IMPLIES-LC,REFUTED,Every exact ordinary G1 tuple whose residual consists of two identical nonLC tree components has an LC residual product.,"Restricted actual full-guard population, two identical occurrences; separate from generic all-tree square property.",exact_counterevidence_adjudicated_no_formal_award
E993-TREE-POWER3-LOGCONCAVE,REFUTED,Every finite ordinary tree T has an adjacent log-concave kth power I(T)^k for the fixed exponent k=3.,"Exactly exponent 3; base tree order is the witness parameter, not the order of its disjoint-union power.",controller_checked_exact_finite_evidence_relocated_replay_no_formal_award
E993-TREE-POWER5-LOGCONCAVE,REFUTED,Every finite ordinary tree T has an adjacent log-concave kth power I(T)^k for the fixed exponent k=5.,"Exactly exponent 5; base tree order is the witness parameter, not the order of its disjoint-union power.",controller_checked_exact_finite_evidence_relocated_replay_no_formal_award
E993-TREE-POWER8-LOGCONCAVE,REFUTED,Every finite ordinary tree T has an adjacent log-concave kth power I(T)^k for the fixed exponent k=8.,"Exactly exponent 8; base tree order is the witness parameter, not the order of its disjoint-union power.",controller_checked_exact_finite_evidence_relocated_replay_no_formal_award
E993-LC-SPANNING-FOREST-NORMALIZED-COMPARISON,REFUTED,"For all ordinary forests H,G on the same vertices with E(H) subset E(G) and I(H) LC, I(H)_k*i_(k+1)(G)<=I(H)_(k+1)*i_k(G) at each supported rank.",Relaxation from a clique union/normal independent-set poset to merely LC spanning forest.,exact_counterevidence_adjudicated_no_formal_award
E993-G1-MAXMATCHING-COMPARATOR-NONPOSITIVE,REFUTED,"For every exact ordinary G1 tuple, the maximum-matching comparator P=(1+2z)^m*(1+z)^(|U|-2m) satisfies P_(r+1)<=P_r at r=p-2.","Applicability of the specific sufficient comparator step, not validity of normalized comparison.",exact_counterevidence_adjudicated_no_formal_award
E993-G1-UNRESTRICTED-CONNECTED-GRAPH-EXTENSION,REFUTED,Every connected finite simple graph with a leaf/support handle satisfying all numerical G1 guards has nonpositive target difference when the acyclic-tree condition is removed.,Exact extension of G1 to connected cyclic ambient graphs at arbitrary wide residual size; not the n=2r+2 theorem.,exact_counterevidence_adjudicated_no_formal_award
E993-G1-VARYING-POWER-FAMILY-EMBEDDING,OPEN,"For every positive integer k there exists an exact ordinary G1 tuple whose residual U is isomorphic to the disjoint union of k copies of B_(k+6), where B_a has a center joined to three hubs each carrying a pendant two-edge arms.","Existence of all original handle and numerical guards with p=x(T)+1; no target-sign conclusion asserted and no prescribed ambient order or fixed wrapper assumed. Finite k1,2,3,5,8 examples alone do not prove this quantifier.",open_unresolved_no_formal_award
E993-G1-UNIFORM-POSITIVE-RELATIVE-GAP,REFUTED,There exists a real epsilon>0 such that every exact ordinary G1 tuple with r=p-2 and i_r(U)>0 satisfies Delta_r(U)<=-epsilon*i_r(U).,"A single epsilon for the entire original ordinary G1 domain. The proposed all-odd broom arbitrarily-small negative gap would refute it, but that universal family proof has not been independently admitted.",adjudicated_quantified_family_refutation_no_formal_award
E993-TREE-UNIFORM-LC-POWER,REFUTED,There exists a positive integer k such that I(T)^k is adjacent log-concave for every finite ordinary tree T.,A graph-independent exponent. This is distinct from fixed-base eventual smoothing and from the finite already-refuted individual exponent claims. The all-k varying-base obstruction remains a proposal.,adjudicated_quantified_family_refutation_no_formal_award
E993-GRAPH-SECOND-WIDE-CROSSING-SIGN,VERIFIED,"For every finite simple graph G and natural r>=1, |V(G)|=2r+3 and x(G)<r imply Delta_r(G)<=0.",All finite ordinary simple graphs in exactly the second wide cardinality band; x is first strict descent. Its ordinary G1 specialization is an application. No RTree transport.,proved_informal_adjudicated_no_formal_award
E993-GRAPH-D3-COVER-THRESHOLD-SHARPNESS,VERIFIED,"For every natural r>=1 there exists a finite simple graph on 2r+3 vertices with vertex-cover number 3 and Delta_r>0: K2 disjoint union K3 for r=1, and 3K2 disjoint union (2r-3)K1 for r>=2. For r>=2, Delta_r=12*binom(2r-3,r-2)/(r*(r+1)).",An explicit all-rank witness family showing the cover-only threshold cannot be lowered to 3. Forest witnesses when r>=2. Not a crossing-guard or G1 counterexample.,proved_informal_adjudicated_no_formal_award
E993-GRAPH-D3-BARE-COVER3-SIGN,REFUTED,"Every finite simple graph G with |V(G)|=2r+3, natural r>=1 and vertex-cover number at least 3 has Delta_r(G)<=0.",Bare cover-number-only sign guarantee; no first-descent premise.,exact_counterevidence_adjudicated_no_formal_award
E993-FOREST-D3-BARE-MATCHING3-SIGN,REFUTED,"Every finite ordinary forest F with |V(F)|=2r+3, natural r>=1 and matching number at least 3 has Delta_r(F)<=0.",Bare matching-number-only sign guarantee on forests; no first-descent premise.,exact_counterevidence_adjudicated_no_formal_award
E993-C2-F1-TARGET-RANK-LC-WITNESS,VERIFIED,C2F1-01 is a full-guard order-680 ordinary tree strictly beyond the equality slice whose residual LC margin is negative at r=p-2 while Delta_r(U)<0.,"One explicit connected B508 residual, left-center root, 168 bare g-leaves, p=250, r=248.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-F1-STRUCTURED-FINITE-SEARCH,VERIFIED,"Of 17,334 recorded deterministic wrappers, 6,190 satisfy all G1 guards with |U|>2p-2; none has positive or zero target, and the ten residual templates do not recover.","Fourteen component types, ten templates, 54 root patterns, h=0 through 320.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-F1-488-VERTEX-ALIGN-CHECK,VERIFIED,"For C2F1-02, the recorded normalized Delta_160 is about -0.0187033 and every residual vertex has b(a)<=160, with b in {159,160}.","Four disjoint K(17,19,23) copies; all 488 vertices through ten exact orbit types.",exact_finite_computation_adjudicated_no_formal_award
E993-G1-GUARDS-IMPLY-TARGET-RANK-LC,REFUTED,Every exact ordinary G1 tuple has i_r(U)^2>=i_(r-1)(U)*i_(r+1)(U) at r=p-2.,"Only the target LC coordinate, weaker than global residual LC. Negative target is compatible with failure of this premise.",exact_counterevidence_adjudicated_no_formal_award
E993-ORDINARY-G1-FIRST-WIDE-SLICE,VERIFIED,Every exact ordinary G1 tuple with residual order |U|=2p-2 satisfies Delta_(p-2)(U)<=0.,"Ordinary finite-tree G1 with every original guard retained, original neighborhoods, p=x(T)+1, and equality |U|=2p-2. The proof gives p>=3 and reconciles natural p-2 with integer target rank. No claim for larger residuals or governed RTree.",formally_verified
E993-FOREST-D3-BARE-MATCHING2-SIGN,REFUTED,"Every finite ordinary forest F with |V(F)|=2r+3, natural r>=1 and matching number at least 2 satisfies Delta_r(F)<=0.","Bare matching-only condition, no early first-descent guard. Separate from the already refuted matching-at-least-3 condition.",exact_counterevidence_adjudicated_no_formal_award
E993-G1-GUARDS-IMPLY-BG-COVER,REFUTED,"Every exact ordinary G1 tuple, with n=|U|, r=p-2, d=n-2r and vc the minimum vertex-cover number, satisfies vc*(r+d-1)>=n*(d-1).",Necessity of the sufficient Basit-Galvin cover certificate on actual fully guarded ordinary trees. This is distinct from a clique comparator sign claim.,exact_counterevidence_adjudicated_no_formal_award
E993-GRAPH-ROOTED-GATEWAY-MOMENT-INCIDENCE,VERIFIED,"For exact rooted gateway data, M_(ell,k)=sum_|J|=ell i_k(U-R_J) reconstructs I(H) including empty-gateway factors, and (k+1)M_(ell,k+1) <= (|U|-k)M_(ell,k)-sum_|J|=ell |R_J|i_k(U-R_J).",Every finite ordinary residual graph with finite exact gateway root blocks; H reconstruction only for the registered ordinary gateway construction. No RTree transport.,proved_informal_adjudicated_no_formal_award
E993-GRAPH-SINGLE-RANK-DELETION-SUFFICIENT,CONDITIONAL,"At q=p-2, any residual vertex a satisfying Delta_q(U-a)<=0 and Delta_(q-1)(U-N_U[a])<=0 certifies Delta_q(U)<=0.","Every finite ordinary graph with integer zero extension; conditional application to exact ordinary G1 tuples. Only the displayed ranks, not full tails.",proved_informal_implication_with_surviving_premises_no_formal_award
E993-SEQUENCE-LOCAL-LC-CORRIDOR-SUFFICIENT,VERIFIED,"For a finite nonnegative positive-interval-support sequence with first strict descent x<q, adjacent LC margins at every rank x<j<=min(q,d-1) imply Delta_q<=0.",Finite coefficient sequences with positive interval support and zero extension; applied only as a sufficient ordinary residual certificate.,proved_informal_adjudicated_no_formal_award
E993-G1-GUARDS-IMPLY-LOCAL-LC-CORRIDOR,REFUTED,Every exact ordinary G1 tuple has residual LC margins nonnegative from x(U)+1 through q=p-2.,"Universal exact ordinary G1 population; local interval only, not global residual LC.",exact_counterevidence_adjudicated_no_formal_award
E993-C2-T2-FIVE-K96-FINITE-CONTROLS,VERIFIED,"The displayed order-608 and order-652 trees with five K(14,15,17) residual components satisfy every exact ordinary G1 guard and have strictly negative targets; the order-652 case crosses local nonLC ranks.","Two explicit ordinary trees only, with complete edge lists and exact U,H,A,T polynomials in RESULTS.json.",exact_finite_computation_adjudicated_no_formal_award
E993-G1-ODD-BROOM-FIXED-DIAMETER-BRANCHCOUNT,VERIFIED,"The fully guarded six-edge-tail odd-broom residuals have unbounded order and maximum degree while, for t>=1, retaining diameter 7 and exactly one vertex of degree at least 3.",The exact ordinary six-edge-tail odd-broom family with odd m=2t+1 and t>=1; geometry of U only.,proved_informal_adjudicated_no_formal_award
E993-C2-F2-EVEN-BROOM-FINITE-CROSSING,VERIFIED,"For the tested even values m=2t, the same six-edge construction has x(U)=r and therefore fails the strict crossing guard, although the size and Gamma guards hold and the target is negative.","Finite exact ordinary edge-list computation for t=1,...,40 and t=257 only.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-F2-TAIL10-FINITE-CONTROLS,VERIFIED,"For a ten-edge tail and odd m=2t+1, t=0 fails strict crossing, while every tested t=1,...,30 and t=257 meets every ordinary G1 guard and has negative target.","Finite exact ordinary edge-list computation for tail length 10, t=0,...,30 and t=257 only.",exact_finite_computation_adjudicated_no_formal_award
E993-GRAPH-COVER3-STRICT-PRE-R-INCREASE,REFUTED,"For every finite simple graph G on 2r+3 vertices with natural r>=3 and vertex-cover number at most three, Delta_k(G)>0 for every natural k<r.","Strict strengthening of the low-cover auxiliary pre-r bound only. The origin asserts weak nondecrease, so its theorem is not refuted.",exact_counterevidence_adjudicated_no_formal_award
E993-G1-COMMON-CONNECTOR-LIFT-SUFFICIENT,CONDITIONAL,"For a recovering ordinary forest F at rank r, choose one root per component and put B=I(F), C=I(F-R). The common-connector tree has residual F and is a full G1 counterexample at p=r+2 whenever the explicit history L_k>=0 for 0<=k<=r, L_(r+1)<0, and explicit ambient expression G_r<0 given in REPORT.md hold.",Ordinary finite nonempty forests and the specified common-connector construction; sufficient root-profile inequalities retained verbatim; no assertion that a successful root set exists.,proved_informal_implication_with_surviving_premises_no_formal_award
E993-G1-MINIMAL-CANONICAL-LIFT-IMPLIES-FOREST,CONDITIONAL,"If every minimum-order recovering ordinary forest has some recovery rank and one root per component satisfying the common-connector lift certificate, then unrestricted ordinary G1 implies FOREST.",Conditional logical implication over minimum-order recovering forests only; the minimal canonical-lift premise remains unproved; no RTree scope.,proved_informal_implication_with_surviving_premises_no_formal_award
E993-RECOVERING-FOREST-MINIMUM-COMPONENT-DICHOTOMY,CONDITIONAL,"A minimum-order recovering ordinary forest is either a connected nonunimodal tree, or it has at least two components and every component is individually unimodal but nonTRS2.",Hypothetical minimum by vertex count among all recovering finite ordinary forests; conditional on existence; component TRS2 has its admitted positive-interval meaning.,proved_informal_implication_with_surviving_premises_no_formal_award
E993-C2-U2-T649-ROOT-CONTROL,VERIFIED,"The explicit order-649 tree obtained from B_160 by the center connector path and two extra g-leaves satisfies every ordinary G1 guard with p=235 and negative target, but both full-tail ALIGN and one-rank ALIGN fail at the prescribed attachment center; vertex 1 satisfies full-tail ALIGN.",One exact ordinary tree and marked tuple; fresh larger corroboration of E993-G1-ATTACHMENT-ROOT-ALIGN only; no existential-ALIGN or G1 refutation.,exact_finite_computation_adjudicated_no_formal_award
E993-G1-MINIMAL-CANONICAL-RECOVERY-LIFT,OPEN,Every minimum-order recovering finite ordinary forest F admits some recovery rank r and one root in each component such that the common-connector tree has x(T)=r+1 and Gamma<0 at p=r+2.,"Unproved root-profile premise used by C2-U2. The wrapper is restricted to a single common connector and a three-edge handle, with no added bare leaves. Smaller domain and restricted codomain do not establish logical weakness relative to arbitrary prescribed-pair lifting.",open_unresolved_no_formal_award
E993-G1-K26-B8-MIXED-GE99-LC-BACKGROUND,VERIFIED,"Let K=K(3,4,4) and Q=K(8,8,8). For every k>=99 and every finite ordinary forest L with LC independence sequence, I(kK disjoint-union Q disjoint-union L) is LC; therefore every exact ordinary G1 tuple with such a residual has nonpositive target difference.","Exactly one fixed order-52 Q=B_8 core, at least 99 fixed K26 cores, and an explicitly LC finite-forest background; ordinary graphs only. The k=98 product is nonLC. Pending root intake; no arbitrary-core or uniform threshold claim.",proved_informal_adjudicated_no_formal_award
E993-C2-T3-THREE-FRESH-G1-CONTROLS,VERIFIED,"Three explicit newly generated ordinary trees satisfy every original G1 guard and have negative target difference: residual 20K26 (ambient 543, U order 520), residual 100K26 disjoint-union B_8 (ambient 2756, U order 2652), and residual 13B_19 (ambient 1550, U order 1534).","Exactly the three deterministic edge constructions and marked leaves generated by replay.py; finite computation only, pending root intake. The B_19 residual is nonLC; none is a target counterexample or an all-parameter embedding theorem.",exact_finite_computation_adjudicated_no_formal_award
E993-K26-B8-MIXED-GE98-LOGCONCAVE,REFUTED,"For every integer k>=98, I(kK(3,4,4) disjoint-union K(8,8,8)) is log-concave.","Specified two-core family, no background. Fails at k=98, with negative margin -78271 at rank1398. This is not the proposed k>=99 statement.",exact_counterevidence_adjudicated_no_formal_award
E993-LC-CONVOLUTION-WEAK-NONPOSITIVE-DIFFERENCE-PERSISTENCE,REFUTED,"For every finite nonnegative weakly unimodal sequence a, LC nonnegative interval-supported sequence b, and integers r<s, writing u_i=a_i-a_(i-1) with zero extension, (b*u)_r<=0 implies (b*u)_s<=0.","Overstrong auxiliary step in the source report, not the valid LC-times-unimodal theorem. Counterexample a=[1,1,2,1], b=[1], r=1,s=2 has values0 and1. Sequence a is not asserted to be a graph independence sequence.",exact_counterevidence_adjudicated_no_formal_award
E993-C2-F3-VARYING-POWER-FINITE-EMBEDDINGS-K1-24,VERIFIED,"For each integer 1<=k<=24, an exact ordinary G1 tuple exists whose residual is k disjoint copies of B_(k+6); every computed target difference is negative.","The 24 individually checked exponents k=1,...,24 with the explicit wrapper and recorded e values; pending root registration. Finite exact computation only, with e searched in 0..32 for k<=16 and e=0 checked for k=17..24; no universal extrapolation.",exact_finite_computation_adjudicated_no_formal_award
E993-FIXED-GRAPH-EVENTUAL-POWER-LOGCONCAVITY,VERIFIED,For every fixed finite graph G there exists a base-dependent threshold N(G) such that every power I(G)^n with n>N(G) is log-concave.,"Fixed finite graph first, then sufficiently large exponent; pending root registration as a literature-derived quantifier clarification. Application of Odlyzko--Richmond Theorem 1 after positive normalization; empty graph handled separately; no uniform threshold over graphs.",proved_informal_adjudicated_no_formal_award
E993-FOREST-MAXMATCHING-CLIQUE-CERTIFICATE-OPTIMALITY,VERIFIED,"For fixed n and supported k, the consecutive coefficient ratio of Q_m=(1+2z)^m(1+z)^(n-2m) is nonincreasing in m. Hence on every forest, some spanning clique partition has a nonpositive step at k if and only if the maximum-matching comparator has a nonpositive step there.","Ordinary coefficient polynomials for 0<=m<=floor(n/2), with positive supported denominator coefficients; forest corollary uses that every forest clique has order at most two.",proved_informal_adjudicated_no_formal_award
E993-C2-U3-STAR12-ROOT-PAIR,VERIFIED,"Two order-63 handle trees with common residual U=12K_(1,3) are both G1-eligible: center-root attachment is certified by its maximum-matching comparator at r=23, while leaf-root attachment misses every clique-partition certificate at r=19 although its target difference is negative.",The two explicit ordinary trees constructed in REPORT.md only; exact integer forest-DP computation.,exact_finite_computation_adjudicated_no_formal_award
E993-C2-CT-F2-LARGER-BROOM-CONTROLS,VERIFIED,"At t=1031, independently reconstructed odd m=2063 brooms with six- and ten-edge tails satisfy all original ordinary G1 guards and have negative targets; the even m=2062 six-edge broom and odd m=2063 fourteen-edge broom fail only strict crossing, with x(U)=r and negative targets.","Four literal finite ordinary trees only: (m,L)=(2063,6),(2062,6),(2063,10),(2063,14), with the original c-q-g-s-v marked attachment, exact original neighborhoods, and complete stored independent-set polynomials. No all-parameter extension is asserted.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CU-F2-FRESH-PARITY-TAIL-CONTROLS,VERIFIED,"For the explicit broom attachment c-q-g-s-v, the four literal parameter pairs (m,L)=(2043,6),(2042,6),(2043,10),(2043,8) all satisfy the ordinary leaf/degree-two structure, strict size and Gamma guards, and have negative target. Crossing holds for (2043,6) and (2043,10); it fails with xU=r for (2042,6) and (2043,8). The odd six-edge case has p=1026, r=1024, |U|=2050 and negative relative gap 2617856/1126483815<1/400.","Finite exact computation on these four explicitly enumerated ordinary trees only. The supporting bounded shape sweep has m=0..41,L=1..18, with 756 parameter pairs, 144 full-guard pairs and no positive target among those 144; no extrapolation or distinctness claim relative to older searches.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CF-T2-SIX-K96-SHARED-GATEWAY-CONTROL,VERIFIED,"The displayed T773 satisfies every exact ordinary G1 guard at p=285, q=283, x(U)=187, with negative target and negative LC margin at q=283; all 576 residual vertices meet SR2. The fixed 231-value extra-leaf grid has 200 eligible rows, 10 eligible local-corridor failures and no positive-target eligible row.","One explicit ordinary tree of order 773 with six disjoint K(14,15,17) residual components of total order 576, three pairwise load-two gateways and 191 additional empty gateways; plus the literal fixed-construction grid of 231 extra-leaf values 0 through 230. No universal or RTree result.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CF-T2-LOCAL-LC-SCOPE-ATTACKS,VERIFIED,"Dropping positive interval support permits [2,1,0,0,1,2], with x=0,q=4, all required local margins nonnegative and Delta_4=1. Omitting the endpoint margin permits [1,4,3,5,1], with x=1,q=2 and Delta_2=2 although the required margin_2=-11.","Two explicit finite scalar coefficient sequences only: [2,1,0,0,1,2] and [1,4,3,5,1]; neither is claimed to be an independence polynomial of a forest.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CF-T3-FIVE-FRESH-G1-CONTROLS,VERIFIED,"Five explicit newly built ordinary trees with residuals 121K26, 121K26 disjoint-union B8, 121K26 disjoint-union B9, 21B27, and two K(20,21,23) satisfy every original G1 guard and have strictly negative target differences.","Exactly the five deterministic edge constructions in independent_check.py, ambient orders3270,3323,3329,3510,269 respectively. Finite computations; no universal wrapper eligibility, forest unimodality or target counterexample.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CU-T3-THREE-FRESH-G1-CONTROLS,VERIFIED,"The residuals 103K26 disjoint-union B8 disjoint-union P8, 101K26 disjoint-union B9, and 17B23 occur in three explicit actual ordinary trees satisfying all exact G1 guards with negative target differences; the first residual is LC and the latter two are nonLC.","Exactly three independently constructed ordinary trees: fresh_K103_Q8_P8 (ambient 2846), fresh_K101_Q9 (ambient 2789), and fresh_varying17 (ambient 2434), with the explicit edges and marked leaves in the owned evidence. Finite computation only; no all-parameter guard eligibility, no unrestricted G1 proof, no governed-RTree statement; pending root intake.",exact_finite_computation_adjudicated_no_formal_award
E993-K26-B9-MIXED-GE99-LOGCONCAVE,REFUTED,"For every integer k>=99, the independence polynomial of k disjoint copies of K(3,4,4) together with one K(9,9,9) is log-concave.","Fixed B9 replacement, no background; ordinary finite forest, not the surviving specified B8 theorem. The witness order is the residual forest order, not ambient G1 tree order.",exact_counterevidence_adjudicated_no_formal_award
E993-C2-CU-T2-SIX-K96-LOCAL-LC-FALSIFIER,VERIFIED,"The explicit T782 has |U|=576, p=289, q=287, x(U)=187 and all G1 guards, but negative local-LC margins at ranks 283, 285, 287; its target is -3772254850371549525104841604140501380443879465448.","One explicitly constructed ordinary tree of order 782 with six K(14,15,17) residual components, 197 additional g-leaves and complete edges and exact U,H,A,T polynomials. No all-parameter or minimality claim.",exact_finite_computation_adjudicated_no_formal_award
E993-G1-EXISTENTIAL-SINGLE-RANK-DELETION,OPEN,"For every exact ordinary G1 tuple, setting r=p-2 and U to its original-neighborhood residual, there exists a vertex a of U such that Delta_r(U-a)<=0 and Delta_(r-1)(U-N_U[a])<=0.","Every finite ordinary G1 tree tuple with the full frozen guards. Only the two displayed ranks; neither prescribed-root nor all-vertex quantification, and no full-tail premise.",open_unresolved_no_formal_award
E993-C2-CT-F1-BETA256-ALIGN-CONTROL,VERIFIED,"The explicit order-1031 wrapper of B256 is fully G1-eligible with p=373, r=371, xU=370 and negative normalized target about -0.00634031944; its attachment center has b=385>r, while vertex 1 has b=371 and vertex 3 has b=370.","One explicit B256 residual of order 1027 attached at its center through a connector to g, with v-s-g and no bare g-leaves; finite wrapper trials h=0..12 are supplemental evidence.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CT-F1-T1588-TARGET-LC-CONTROL,VERIFIED,"The explicit order-1588 tree with a connected seven-core residual of order 1186 and 398 bare g-leaves satisfies all G1 guards at p=589, r=587, xU=388, with negative target and negative target-coordinate LC margin.","One center-chain with alternating cores K(24,25,26), K(30,31,32), K(24,25,26), K(30,31,32), K(24,25,26), K(30,31,32), K(24,25,26), attached at the left center through a connector to g with v-s-g and h=398.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CU-F1-BETA300-CONTROL,VERIFIED,"The explicit T1208 beta-family wrapper has full ordinary G1 guards, p=437, r=435, xU=434, negative target, attachment-center b=451>435, and marked-arm-middle b=434<=435.","One beta-family residual B300 of order1203; attach a new four-vertex path at its center and one bare g-leaf. This is a single explicit ordinary tree, not an all-m statement.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CU-F1-LARGER-CHAIN-HORIZON,VERIFIED,"A fresh connected order1026 seven-K-block residual has x=tau=335 and no recovery; its 2163 specified wrappers contain 1062 full-guard records, all with negative targets and nonnegative target LC margins.","The exact seven arm triples (18,20,24),(20,22,26),(25,27,29),(18,21,23),(30,31,35),(20,22,26),(18,20,24), connected in center-chain order; roots0,434,898; h=0..720 only.",exact_finite_computation_adjudicated_no_formal_award
E993-FOREST-TWO-EDGE-NEXT-BAND-FAMILY,VERIFIED,"For every integer r>=1, the ordinary forest F_r=2K2 disjoint union (2r-1)K1 has order2r+3, matching and vertex-cover numbers2, Delta_r(F_r)=6*C(2r-1,r)/(r+1)>0 and first strict descent x(F_r)=r+1.","All integers r>=1 for this explicit actual-forest family, i0=1 and integer zero extension. It refutes only the bare matching-two d=3 sign; every family member fails x(F_r)<r and is not a G1 counterexample.",proved_informal_adjudicated_no_formal_award
E993-C2-CT-U1-LARGER-FINITE-TREE-BG-GAPS,VERIFIED,"Explicit ordinary grouped-gateway trees with residual m K1,2 disjoint union K1,3 for m=100,101,150 have ambient orders309,312,459, respectively. All exact G1 guards hold, Gamma and target differences are negative, and the BG cover inequality fails in each case.","Exactly three recorded finite ordinary trees with original neighborhoods, p=x(T)+1 and all four complete integer polynomials. No all-m theorem, unbounded deficit conclusion, positive-target event or RTree transport.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CT-U1-LARGER-FINITE-CYCLIC-FENCES,VERIFIED,"Four explicit connected cyclic simple graphs with residual U22 disjoint union K_k, k=4,5,7,9, and two-gateway handles have orders31,32,34,36, p=5, x(U)=2, Gamma=-180,-215,-285,-355 and target differences15,20,30,40, respectively.","Exactly four explicit cyclic graphs with the local leaf/degree-two handle and every numerical G1 guard. All fail the tree/acyclicity guard and lie outside residual order2r+2. They do not refute ordinary-tree G1, the boundary theorem or C1 forest low-rank scope.",exact_finite_computation_adjudicated_no_formal_award
E993-C2-CF-U1-BOUNDED-FOCUSED-ATTACK,VERIFIED,"No boundary-classification violation occurs in 98304 labelled core-six-plus-isolates evaluations at n=6,20,42 or 54 arbitrary-edge graphs at n=20,24,32. Fresh actual trees T249 and T219 satisfy every ordinary G1 guard, fail the BG cover threshold and have negative target. Fresh cyclic T36 satisfies all displayed graph guards with p=5, xU=2, Gamma=-355 and target +40. An n42 supergraph pair has Delta20 increasing from -4796857230 to 0, defeating an edge-monotonicity shortcut.","Only the explicit deterministic finite constructions and enumerations in INDEPENDENT-CHECKS.json and FOCUSED-BOUNDARY-CHECKS.json, with full edges and integer polynomials for named graph witnesses. Core-six evaluations are labelled constructions, not distinct isomorphism classes or all graphs at n20/n42. T36 is cyclic. T249/T219 are negative-target certificate-noncoverage witnesses. No universal family statement, novelty claim, Lean award or RTree transport.",exact_finite_computation_adjudicated_no_formal_award
E993-GRAPH-EDGE-ADDITION-DELTA-NONINCREASE,REFUTED,"For finite simple graphs G and H on the same vertex set with E(G) contained in E(H), every nonnegative integer rank r satisfies Delta_r(H)<=Delta_r(G).",Universal graph edge-addition monotonicity shortcut. The order42 witness also lies on n=2r+2. No early-descent premise and no ordinary-G1 implication asserted.,exact_counterevidence_adjudicated_no_formal_award
